typestatus	standard	vetted
HOLOTYPE OF ATTILA CANICEPS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 4, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF ATTILA IDIOTES, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 96, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF ATTILA NEOXENUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 4, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF AULISCOMYS PICTUS (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF AURIPARUS FLAVICEPS IGNATIUS	holotype	1
HOLOTYPE OF AUTOMOLUS INFUSCATUS PURUSIANUS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 40, PUBLISHED 15 OCTOBER 1948.	holotype	1
HOLOTYPE OF AVICEDA SUBCRISTATA COULTASI	holotype	1
HOLOTYPE OF BACHIA PARKERI	holotype	1
HOLOTYPE OF BACHIA TALPA	holotype	1
HOLOTYPE OF BAIOMYS MUSCULUS BRUNNEUS ((ALLEN & CHAPMAN))	holotype	1
HOLOTYPE OF BAIOMYS MUSCULUS PALLIDUS (RUSSELL)	holotype	1
HOLOTYPE OF BAIOMYS TAYLORI PAULUS ((ALLEN))	holotype	1
HOLOTYPE OF BARISIA IMBRICATA JONESI	holotype	1
HOLOTYPE OF BARYPHTHENGUS MARTII COSTARICENSIS, TODD, W. E. C. 1943. TWO NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 47-48. PAGE 48, PUBLISHED 16 JUNE 1943.	holotype	1
HOLOTYPE OF BASILEUTERUS AURICAPILLUS VIRIDESCENS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA **INCORRECTLY LISTED IN TYPE CAT AS P.169**. PROC. BIOL. SOC. WASH., 169-174. PAGE 170, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF BASILEUTERUS CABANISI INDIGNUS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF BASILEUTERUS CORONATUS NOTIUS, TODD, W. E. C. 1929. A REVISION OF THE WOOD-WARBLER GENUS BASILEUTERUS AND ITS ALLIES ***ORIGINALLY SEXED MALE, CHANGED BY WECT***. PROC. U. S. NAT. MUS., 1-95. PAGE 33, PUBLISHED 1929.	holotype	1
HOLOTYPE OF BASILEUTERUS CORONATUS REGULUS, TODD, W. E. C. 1929. A REVISION OF THE WOOD-WARBLER GENUS BASILEUTERUS AND ITS ALLIES. PROC. U. S. NAT. MUS., 1-95. PAGE 36, PUBLISHED 1929.	holotype	1
HOLOTYPE OF BASILEUTERUS SIGNATUS FLAVOVIRENS, TODD, W. E. C. 1929. A REVISION OF THE WOOD-WARBLER GENUS BASILEUTERUS AND ITS ALLIES. PROC. U. S. NAT. MUS., 1-95. PAGE 45, PUBLISHED 1929.	holotype	1
HOLOTYPE OF BASILISCUS BARBOURI	holotype	1
HOLOTYPE OF BASSARICYON GABBI RICHARDSONI (ALLEN)	holotype	1
HOLOTYPE OF BASSARISCUS ASTUTUS MACDOUGALLI	holotype	1
HOLOTYPE OF BATIS MARGARITAE, BOULTON, R. 1934. NEW BIRDS FROM ANGOLA. PROC. BIOL. SOC. WASH., 45-48. PAGE 47, PUBLISHED 9 FEBRUARY 1934.	holotype	1
HOLOTYPE OF BAUERUS DUBIAQUERCUS (VAN GELDER, 1959)	holotype	1
HOLOTYPE OF BLARINA BREVICAUDA	holotype	1
HOLOTYPE OF BLARINA BREVICAUDA ((SAY))	holotype	1
HOLOTYPE OF BOA CONSTRICTOR MELANOGASTER	holotype	1
HOLOTYPE OF BOIGA DENDROPHILA DIVERGENS, TAYLOR, 1922, PHILIPPINE BUR. SCI., PUBL. 16:201	holotype	1
HOLOTYPE OF BOLITOGLOSSA EPIMELA	holotype	1
HOLOTYPE OF BOLITOGLOSSA HARTWEGI	holotype	1
HOLOTYPE OF BOLITOGLOSSA SAVAGEI	holotype	1
HOLOTYPE OF BOLITOGLOSSA STUARTI	holotype	1
HOLOTYPE OF BOLITOGLOSSA WALKERI	holotype	1
HOLOTYPE OF BOLOMYS LASIURUS ((LUND))	holotype	1
HOLOTYPE OF BONASA UMBELLUS CANESCENS, TODD, W. E. C. 1940. EASTERN RACES OF THE RUFFED GROUSE **LAT 50.53N**. AUK, 390-397. PAGE 395, PUBLISHED JULY 1940. NAME WAS FOUND TO BE USED PREVIOUSLY - SEE REMARKS	holotype	1
HOLOTYPE OF BONASA UMBELLUS MEDIANUS, TODD, W. E. C. 1940. EASTERN RACES OF THE RUFFED GROUSE. AUK, 57: 390-397. PAGE 394, PUBLISHED JULY 1940.	holotype	1
HOLOTYPE OF BONASA UMBELLUS MONTICOLA, TODD, W. E. C. 1940. EASTERN RACES OF THE RUFFED GROUSE. AUK, 390-397. PAGE 392, PUBLISHED JULY 1940.	holotype	1
HOLOTYPE OF BOTHROPS NEUWIEDI BOLIVIANUS, AMARAL, 1927, BULL. ANTIVENIN INST. AMERICA, 1:6	holotype	1
HOLOTYPE OF BOULENGERULA FISCHERI	holotype	1
HOLOTYPE OF BRACHYGALBA PHAEONOTA, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 10, PUBLISHED 20 OCTOBER 1943.	holotype	1
HOLOTYPE OF BRACHYMELES BURKSI, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:275	holotype	1
HOLOTYPE OF BRACHYPTERYX POLIOGYNA MINDORENSIS (HARTERT, 1916)	holotype	1
HOLOTYPE OF BRACHYRAMPHUS HYPOLEUCUS PONTILIS, VAN ROSSEM, A. J. 1939. SOME NEW RACES OF BIRDS FROM MEXICO. ANNALS MAG. NAT. HIST. (SER.11, 439-443. PAGE 441, PUBLISHED OCTOBER 1939.	holotype	1
HOLOTYPE OF BRACHYSPIZA CAPENSIS ARGENTINA, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 71, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF BRACHYSPIZA CAPENSIS HYPOLEUCA, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 79, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF BRADYPTERUS MARIAE BOULTONI, CHAPIN, J. P. 1948. TWO NEW PASSERINE BIRDS FROM ANGOLA. ANNALS CARNEGIE MUSEUM, 1-4. PAGE 1, PUBLISHED 26 FEBRUARY 1948.	holotype	1
HOLOTYPE OF BRADYPTERUS MONTIS TIMORENSIS	holotype	1
HOLOTYPE OF BRANTA CANADENSIS INTERIOR, TODD, W. E. C. 1938. A NEW EASTERN RACE OF THE CANADA GOOSE. AUK, 661-662. PAGE 662, PUBLISHED OCTOBER 1938.	holotype	1
HOLOTYPE OF BRASSOMYS ALBIDENS (2009)	holotype	1
HOLOTYPE OF BROOKESIA AMBREENSIS	holotype	1
HOLOTYPE OF BROOKESIA ANTAKARANA	holotype	1
HOLOTYPE OF BROOKESIA BEKOLOSY	holotype	1
HOLOTYPE OF BROOKESIA LINEATA	holotype	1
HOLOTYPE OF BROOKESIA LOLONTANY	holotype	1
HOLOTYPE OF BROTOGERIS JUGULARIS EXSUL, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 129, PUBLISHED 27 JULY 1917.	holotype	1
HOLOTYPE OF BUARREMON PHAEOPLEURUS EXORTUS, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 219, PUBLISHED 26 NOVEMBER 1932.	holotype	1
HOLOTYPE OF BUBO AFRICANUS TANAE, KEITH, S., AND A. TWOMEY. 1968. NEW DISTRIBUTIONAL RECORDS OF SOME EAST AFRICAN BIRDS. IBIS, 537-548. PAGE 539, PUBLISHED 1 OCTOBER 1968.	holotype	1
HOLOTYPE OF BUBO VIRGINIANUS ELUTUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 6, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF BUFO EXSUL	holotype	1
HOLOTYPE OF BUFO FLUVIATICUS, SCHWARTZ, 1972, J. HERPETOL., 6:226	holotype	1
HOLOTYPE OF BUFO GRANULOSUS GOELDII	holotype	1
HOLOTYPE OF BUFO GRANULOSUS LUTZI	holotype	1
HOLOTYPE OF BUFO IBARRAI	holotype	1
HOLOTYPE OF BUFO PERIPATETES	holotype	1
HOLOTYPE OF BUFO PISINNUS	holotype	1
HOLOTYPE OF BUFO QUECHUA, GALLARDO, 1961, BREVIORA, 141:4	holotype	1
HOLOTYPE OF BUFO TACANENSIS	holotype	1
HOLOTYPE OF BUFO VALLICEPS WILSONI	holotype	1
HOLOTYPE OF BUNOMYS ANDREWSI ((ALLEN))	holotype	1
HOLOTYPE OF BUNOMYS CHRYSOCOMUS ((HOFFMANN))	holotype	1
HOLOTYPE OF BUNOMYS HEINRICHI ((TATE & ARCHBOLD))	holotype	1
HOLOTYPE OF BUTEO JAMAICENSIS ABIETICOLA, TODD, W. E. C. 1950. A NORTHERN RACE OF RED-TAILED HAWK **TAKEN WITH 2 EGGS**. ANNALS CARNEGIE MUSEUM, 289-296. PAGE 291, PUBLISHED 25 APRIL 1950.	holotype	1
HOLOTYPE OF BUTEOGALLUS ANTHRACINUS UTILENSIS, TWOMEY, A. C. 1956. A NEW RACE OF BLACK HAWK OF THE SPECIES BUTEOGALLUS ANTHRACINUS FROM THE REPUBLIC OF HONDURAS. ANNALS CARNEGIE MUSEUM, 387-389. PAGE 387, PUBLISHED 8 FEBRUARY 1956.	holotype	1
HOLOTYPE OF BUTORIDES VIRESCENS CURACENSIS, OBERHOLSER, H. C. 1912. A REVISION OF THE SUBSPECIES OF THE GREEN HERON (BUTORIDES VIRESCENS [LINNAEUS]). PROC. U.S. NATIONAL MUSEUM, 529-577. PAGE 573, PUBLISHED 29 AUGUST 1912.	holotype	1
HOLOTYPE OF C. MELOPOMENE ALBIDIOR	holotype	1
HOLOTYPE OF CAECILIA ABITAGUAE	holotype	1
HOLOTYPE OF CAECILIA CORPULENTA	holotype	1
HOLOTYPE OF CAECILIA DUNNI	holotype	1
HOLOTYPE OF CAECILIA PERDITA	holotype	1
HOLOTYPE OF CAENOLESTES CANIVENTER	holotype	1
HOLOTYPE OF CAENOLESTES CONVELATUS	holotype	1
HOLOTYPE OF CAENOLESTES FULIGINOSUS ((TOMES))	holotype	1
HOLOTYPE OF CALAMARIA GERVAISII IRIDESCENS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:360	holotype	1
HOLOTYPE OF CALIDRIS MARITIMA BELCHERI, ENGELMOER, M., AND C. S. ROSELAAR. 1998. GEOGRAPHICAL VARIATION IN WADERS. KLUWER ACADEMIC PUBLISHERS, XII,331. PAGE 141, PUBLISHED 1998.	holotype	1
HOLOTYPE OF CALLICEBUS TORQUATUS LUGENS ((HUMBOLDT))	holotype	1
HOLOTYPE OF CALLISCINCOPUS AGILIS	holotype	1
HOLOTYPE OF CALLOSCIURUS ERYTHRAEUS INSULARIS ((ALLEN))	holotype	1
HOLOTYPE OF CALLOSCIURUS ERYTHRAEUS SLADENI ((ANDERSON))	holotype	1
HOLOTYPE OF CALLOSCIURUS PHAYREI ((BLYTH))	holotype	1
HOLOTYPE OF CALLOSCIURUS QUINQUESTRIATUS ((ANDERSON))	holotype	1
HOLOTYPE OF CALOMYS LEPIDUS CARILLUS ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF CALOMYSCUS MYSTAX (KASHKAROV)	holotype	1
HOLOTYPE OF CALUMMA AMBER	holotype	1
HOLOTYPE OF CALUMMA CRYPTICUM	holotype	1
HOLOTYPE OF CALUMMA TSYCORNE	holotype	1
HOLOTYPE OF CAMPTOSTOMA IMBERBE THYELLOPHILA, PARKES, K. C., AND A. R. PHILLIPS. 1999. A NEW SUBSPECIES OF THE NORTHERN BEARDLESS-TYRANNULET CAMPTOSTOMA IMBERBE. BULL. BRIT. ORN. CLUB, 59-62. PAGE 60, PUBLISHED 23 MARCH 1999.	holotype	1
HOLOTYPE OF CAMPYLORHAMPHUS PROCURVOIDES SUCCESSOR, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 13, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF CAMPYLORHAMPHUS PUSILLUS BOREALIS, CARRIKER, JR., M. A. 1910. AN ANNOTATED LIST OF THE BIRDS OF COSTA RICA INCLUDING COCOS ISLAND. ANNALS CARNEGIE MUSEUM, 314-915. PAGE 657, PUBLISHED 29 AUGUST 1910.	holotype	1
HOLOTYPE OF CANIS LATRANS IMPAVIDUS (ALLEN)	holotype	1
HOLOTYPE OF CAPITO AURATUS ARIMAE, CHAPMAN, F. M. 1928. MUTATION IN CAPITO AURATUS. AMERICAN MUSEUM NOVITATES, 1-21. PAGE 10, PUBLISHED 16 NOVEMBER 1928.	holotype	1
HOLOTYPE OF CAPITO AURATUS HYPOCHONDRIACUS, CHAPMAN, F. M. 1928. MUTATION IN CAPITO AURATUS. AMERICAN MUSEUM NOVITATES, 1-21. PAGE 15, PUBLISHED 16 NOVEMBER 1928.	holotype	1
HOLOTYPE OF CAPITO AURATUS NITIDIOR, CHAPMAN, F. M. 1928. MUTATION IN CAPITO AURATUS. AMERICAN MUSEUM NOVITATES, 1-21. PAGE 6, PUBLISHED 16 NOVEMBER 1928.	holotype	1
HOLOTYPE OF CAPITO AURATUS NOVAOLINDAE, CHAPMAN, F. M. 1928. MUTATION IN CAPITO AURATUS. AMERICAN MUSEUM NOVITATES, 1-21. PAGE 9, PUBLISHED 16 NOVEMBER 1928.	holotype	1
HOLOTYPE OF CAPRICORNIS OSBORNI (ANDREWS, 1921)	holotype	1
HOLOTYPE OF CAPRIMULGUS ROSENBERGI	holotype	1
HOLOTYPE OF CAPROMYS INGRAHAMI	holotype	1
HOLOTYPE OF CARPODACUS MCGREGORI, ANTHONY, A. W. 1897. NEW BIRDS FROM THE ISLANDS AND PENINSULA OF LOWER CALIFORNIA. AUK, 164-168. PAGE 165, PUBLISHED APRIL 1897.	holotype	1
HOLOTYPE OF CASTOR CANADENSIS CAROLINENSIS	holotype	1
HOLOTYPE OF CATAMENIA OREOPHILA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 169, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF CATHARUS FUSCATER SANCTAE-MARTAE, RIDGWAY, R. 1904. DESCRIPTIONS OF SEVEN NEW SPECIES AND SUBSPECIES OF BIRDS FROM TROPICAL AMERICA. SMITHSONIAN MISC. COLL., 112-113. PAGE 112, PUBLISHED 6 AUGUST 1904.	holotype	1
HOLOTYPE OF CATHARUS MEXICANUS CARRIKERI, PHILLIPS, A. R. 1991. KNOWN BIRDS OF NORTH AND MIDDLE AMERICA. 111. PAGE 111, PUBLISHED 1991.	holotype	1
HOLOTYPE OF CATHERPES MEXICANUS PALLIDIOR, PHILLIPS, A. R. 1986. KNOWN BIRDS OF NORTH & MIDDLE AMERICA. 169. PAGE 169, PUBLISHED 1986.	holotype	1
HOLOTYPE OF CAVIA APEREA GUIANAE ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF CAVIA PORCELLUS ((LINNEAUS))	holotype	1
HOLOTYPE OF CEBUS ALBIFRONS AEQUATORIALIS (ALLEN)	holotype	1
HOLOTYPE OF CEBUS ALBIFRONS HYPOLEUCUS ((HUMBOLDT))	holotype	1
HOLOTYPE OF CEBUS CAPUCINUS CAPUCINUS (LINNEAUS)	holotype	1
HOLOTYPE OF CEBUS OLIVACEUS BRUNNEUS (ALLEN)	holotype	1
HOLOTYPE OF CELEUS GRAMMICUS SUBCERVINUS, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 252, PUBLISHED 16 NOVEMBER 1937.	holotype	1
HOLOTYPE OF CELEUS GRAMMICUS UNDULATUS, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 252, PUBLISHED 16 NOVEMBER 1937.	holotype	1
HOLOTYPE OF CELEUS INNOTATUS DEGENER, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 116, PUBLISHED 27 JUNE 1919.	holotype	1
HOLOTYPE OF CELEUS INNOTATUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 5, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF CELEUS SPECTABILIS OBRIENI (SHORT, 1973)	holotype	1
HOLOTYPE OF CENTRALIS	holotype	1
HOLOTYPE OF CENTURUS AURIFRONS INCANESCENS, TODD, W. E. C. 1946. CRITICAL NOTES ON THE WOODPECKERS. ANNALS CARNEGIE MUSEUM, 297-317. PAGE 298, PUBLISHED 16 DECEMBER 1946.	holotype	1
HOLOTYPE OF CERCOMACRA NIGRICANS ATRATUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 162, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF CERCOMACRA TYRANNINA LAETA, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 73, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF CERCOMACRA TYRANNINA VICINA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 161, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF CERTHIA AMERICANA PHILLIPSI	holotype	1
HOLOTYPE OF CERTHIAXIS CINNAMOMEA ALBESCENTIOR, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 38, PUBLISHED 15 OCTOBER 1948.	holotype	1
HOLOTYPE OF CETTIA HADDENI (LECROY & BARKER, 2006)	holotype	1
HOLOTYPE OF CHAEMEPELIA MINUTA ELAEODES, TODD, W. E. C. 1913. A REVISION OF THE GENUS CHAEMEPELIA. ANNALS CARNEGIE MUSEUM, 507-603. PAGE 578, PUBLISHED 8 MAY 1913.	holotype	1
HOLOTYPE OF CHAEMEPELIA PASSERINA NANA, TODD, W. E. C. 1913. A REVISION OF THE GENUS CHAEMEPELIA. ANNALS CARNEGIE MUSEUM, 507-603. PAGE 546, PUBLISHED 8 MAY 1913.	holotype	1
HOLOTYPE OF CHAEMEPELIA PASSERINA NEGLECTA, CARRIKER, JR., M. A. 1910. AN ANNOTATED LIST OF THE BIRDS OF COSTA RICA INCLUDING COCOS ISLAND. ANNALS CARNEGIE MUSEUM, 314-915. PAGE 398, PUBLISHED 29 AUGUST 1910.	holotype	1
HOLOTYPE OF CHAEMEPELIA PASSERINA QUITENSIS, TODD, W. E. C. 1913. A REVISION OF THE GENUS CHAEMEPELIA. ANNALS CARNEGIE MUSEUM, 507-603. PAGE 547, PUBLISHED 8 MAY 1913.	holotype	1
HOLOTYPE OF CHAEREPHON CHAPINI LANCASTERI (HAYMAN, 1938)	holotype	1
HOLOTYPE OF CHAETODIPUS CALIFORNICUS FEMORALIS ((ALLEN))	holotype	1
HOLOTYPE OF CHAETODIPUS HISPIDUS PARADOXUS	holotype	1
HOLOTYPE OF CHAETODIPUS HISPIDUS PARADOXUS ((MERRIAM))	holotype	1
HOLOTYPE OF CHAETODIPUS PENICILLATUS PRICEI	holotype	1
HOLOTYPE OF CHAETODIPUS PENICILLATUS PRICEI ((ALLEN))	holotype	1
HOLOTYPE OF CHAETURA CINEREIVENTRIS SCHISTACEA, TODD, W. E. C. 1937. TWO NEW SWIFTS OF THE GENUS CHAETURA. PROC. BIOL. SOC. WASH., 183-184. PAGE 183, PUBLISHED 28 OCTOBER 1937.	holotype	1
HOLOTYPE OF CHAETURA EGREGIA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 97, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF CHAETURA SPINICAUDA AETHALIA, TODD, W. E. C. 1937. TWO NEW SWIFTS OF THE GENUS CHAETURA. PROC. BIOL. SOC. WASH., 183-184. PAGE 183, PUBLISHED 28 OCTOBER 1937.	holotype	1
HOLOTYPE OF CHALYBURA BUFFONI INTERIOR, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 332, PUBLISHED 31 DECEMBER 1942.	holotype	1
HOLOTYPE OF CHAMAEZA NOBILIS FULVIPECTUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 174, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF CHAPERINA BEYERI, TAYLOR, 1920, PHILIPPINE JOUR. SCI., 16:333	holotype	1
HOLOTYPE OF CHIRODERMA TRINITATUM	holotype	1
HOLOTYPE OF CHIRODERMA VILLOSUM JESUPI (ALLEN)	holotype	1
HOLOTYPE OF CHIROPODOMYS KARLKOOPMANI	holotype	1
HOLOTYPE OF CHIROPOTES ALBINASUS (GEOFFROY & DEVILLE)	holotype	1
HOLOTYPE OF CHIROPOTES SATANAS UTAHICKI	holotype	1
HOLOTYPE OF CHIROPTEROTRITON CHONDROSTEGA CRACENS	holotype	1
HOLOTYPE OF CHIRUROMYS FORBESI PULCHER ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF CHIRUROMYS LAMIA KAGI ((TATE))	holotype	1
HOLOTYPE OF CHLOROCERYLE INDA CHOCOENSIS, TODD, W. E. C. 1943. TWO NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 47-48. PAGE 47, PUBLISHED 16 JUNE 1943.	holotype	1
HOLOTYPE OF CHLOROPHANES SPIZA SUBTROPICALIS, TODD, W. E. C. 1924. DESCRIPTIONS OF EIGHT NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 121-124. PAGE 122, PUBLISHED 8 JULY 1924.	holotype	1
HOLOTYPE OF CHLOROSPINGUS CANIGULARIS CONSPICILLATUS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 93, PUBLISHED 12 JULY 1922.	holotype	1
HOLOTYPE OF CHLOROSPINGUS OPHTHALMICUS EMINENS	holotype	1
HOLOTYPE OF CHLOROSPINGUS OPHTHALMICUS TRUDIS, OLSON, S. L. 1983. GEOGRAPHIC VARIATION IN CHLOROSPINGUS OPHTHALMICUS IN COLOMBIA AND VENEZUELA (AVES: THRAUPIDAE) **LISTED INCORRECTLY AS 59494. PROC. BIOL. SOC. WASH., 103-109. PAGE 107, PUBLISHED 25 MARCH 	holotype	1
HOLOTYPE OF CHLOROSTILBON STENURUS IGNOTUS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 305, PUBLISHED 31 DECEMBER 1942.	holotype	1
HOLOTYPE OF CHODSIGOA CAOVANSUNGA	holotype	1
HOLOTYPE OF CHOERONISCUS MINOR ((ALLEN & CHAPMAN))	holotype	1
HOLOTYPE OF CHOLOEPUS DIDACTYLUS ((LINNEAUS))	holotype	1
HOLOTYPE OF CHOLOEPUS HOFFMANNI AGUSTINUS (ALLEN)	holotype	1
HOLOTYPE OF CHOLOEPUS HOFFMANNI CAPITALIS (ALLEN)	holotype	1
HOLOTYPE OF CHORDEILES MINOR TWOMEYI, HAWKINS, R. W. 1948. A NEW WESTERN RACE OF THE NIGHTHAWK **INCORRECTLY LISTED AS 131534**. CONDOR, 131-132. PAGE 131, PUBLISHED 18 MAY 1948.	holotype	1
HOLOTYPE OF CHRYSOPTILUS PUNCTIGULA RUBIDIPECTUS, TODD, W. E. C. 1946. CRITICAL NOTES ON THE WOODPECKERS. ANNALS CARNEGIE MUSEUM, 297-317. PAGE 303, PUBLISHED 16 DECEMBER 1946.	holotype	1
HOLOTYPE OF CICCABA ALBITARSUS TERTIA, TODD, W. E. C. 1947. TWO NEW OWLS FROM BOLIVIA. PROC. BIOL. SOC. WASH., 95-96. PAGE 95, PUBLISHED 22 AUGUST 1947.	holotype	1
HOLOTYPE OF CIRRHIPIPRA FILICAUDA SUBPALLIDA, TODD, W. E. C. 1928. FIVE NEW MANAKINS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 111-114. PAGE 112, PUBLISHED 29 JUNE 1928.	holotype	1
HOLOTYPE OF CISTICOLA CHINIANA KEITHI, PARKES, K. C. 1987. TAXONOMIC NOTES ON SOME AFRICAN WARBLERS (AVES: SYLVIINAE). ANNALS CARNEGIE MUSEUM, 231-243. PAGE 235, PUBLISHED 28 AUGUST 1987.	holotype	1
HOLOTYPE OF CISTICOLA HETEROPHRYS, OBERHOLSER, H. C. 1906. DESCRIPTION OF TWO NEW BIRDS FROM BRITISH EAST AFRICA. ANNALS CARNEGIE MUSEUM, 495-497. PAGE 496, PUBLISHED 16 MAY 1906.	holotype	1
HOLOTYPE OF CISTOTHORUS AEQUATORIALIS FULVESCENS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 114, PUBLISHED 27 JUNE 1919.	holotype	1
HOLOTYPE OF CISTOTHORUS PALUSTRIS CLARKAE	holotype	1
HOLOTYPE OF CIVETTICTIS CIVETTA CONGICA	holotype	1
