typestatus	standard	vetted
HOLOTYPE OF AMAZILIA AMABILIS COSTARICENSIS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 330, PUBLISHED 31 DECEMBER 1942.	holotype	1
HOLOTYPE OF AMAZILIA CHIONOPECTUS ORIENTICOLA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 319, PUBLISHED 31 DECEMBER 1942.	holotype	1
HOLOTYPE OF AMAZILIA FIMBRIATA ELEGANTISSIMA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 323, PUBLISHED 31 DECEMBER 1942.	holotype	1
HOLOTYPE OF AMAZONA AUROPALLIATA CARIBAEA, LOUSADA, S. 1989. AMAZONA AUROPALLIATA CARIBAEA: A NEW SUBSPECIES OF PARROT FROM THE BAY ISLANDS, NORTHERN HONDURAS **LISTED INCORRECTLY AS 1948**. BULL. BRIT. ORN. CLUB, 232-235. PAGE 233, PUBLISHED 13 DECEMBER 	holotype	1
HOLOTYPE OF AMAZONA LEUCOCEPHALA PALMARUM, TODD, W. E. C. 1916. THE BIRDS OF THE ISLE OF PINES. ANNALS CARNEGIE MUSEUM, 146-296. PAGE 228, PUBLISHED 17 FEBRUARY 1916.	holotype	1
HOLOTYPE OF AMBLYCERCUS HOLOSERICEUS CENTRALIS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF AMBYSTOMA BARBOURI	holotype	1
HOLOTYPE OF AMBYSTOMA CINGULATUM BISHOPI, GOIN, 1950, ANN. CARNEGIE MUS., 31:300	holotype	1
HOLOTYPE OF AMBYSTOMA NOTHAGENES	holotype	1
HOLOTYPE OF AMBYSTOMA TIGRINUM DIABOLI	holotype	1
